萧峰
段誉
虚竹
王语嫣
木婉清
阿朱
阿碧
钟灵
萧远山
慕容博
李秋水
扫地神僧
无崖子
天山童姥 
鸠摩智
丁春秋
玄慈方丈
段延庆
庄聚贤
慕容复
段正明
黄眉僧
段正淳
苏星河
叶二娘
南海鳄神
云中鹤
阿紫
刀白凤
王夫人
秦红棉
阮星竹
甘宝宝
梅兰竹菊
全冠清
白世镜
赵钱孙
令狐冲
任盈盈
风清扬
东方不败
任我行
向问天
岳不群
左冷禅
林平之
方证大师
冲虚道长
定闲师太
莫大先生
天门道长
余沧海
岳灵珊
仪琳
田伯光
梅庄四友
张无忌
周芷若
赵敏
小昭
殷离
张三丰
张翠山
殷素素
谢逊
成昆
灭绝师太
宋远桥
俞莲舟
俞岱岩
张松溪
殷梨亭
莫声谷
玄冥二老
杨逍
范遥
金花婆婆
青翼蝠王
